Date,Forecast_MU
2026-03-23,203810.45827825763
2026-03-24,203172.82566700198
2026-03-25,201092.43589141464
2026-03-26,201913.04831095535
2026-03-27,203236.49119827338
2026-03-28,202858.3298078721
2026-03-29,190415.30781528022
2026-03-30,202472.67350427373
2026-03-31,204090.92529212884
2026-04-01,199964.5772506983
2026-04-02,201618.46672543974
2026-04-03,204188.07676348617
2026-04-04,202027.92187718605
2026-04-05,192720.15344753905
2026-04-06,204152.1327458437
2026-04-07,204693.6782191841
2026-04-08,204318.3677863326
2026-04-09,206444.4171083703
2026-04-10,204906.41258481433
2026-04-11,202112.86478688224
2026-04-12,191150.93826951625
2026-04-13,203868.628378275
2026-04-14,205782.94430753286
2026-04-15,204728.50066409862
2026-04-16,204762.83426356455
2026-04-17,205162.42263528862
2026-04-18,205020.39411459587
2026-04-19,192628.22106403217
2026-04-20,205662.14729332508
2026-04-21,206173.15474775308
2026-04-22,206351.2071774526
2026-04-23,206584.69309104362
2026-04-24,206464.06828889417
2026-04-25,204958.73385734705
2026-04-26,192894.0271887728
2026-04-27,205876.43438937742
2026-04-28,206088.7997893676
2026-04-29,206292.9625478303
2026-04-30,205346.74744683638
2026-05-01,202083.57134508385
2026-05-02,202113.00247288172
2026-05-03,192236.33353121005
2026-05-04,204453.0394158512
2026-05-05,206132.54583811495
2026-05-06,205781.0946679459
2026-05-07,204953.9059602793
2026-05-08,205738.2089947493
2026-05-09,203955.51794805104
2026-05-10,192960.6563492591
2026-05-11,206287.80872641897
2026-05-12,205707.19176091632
2026-05-13,204528.03390845208
2026-05-14,204416.943227641
2026-05-15,203109.74993959253
2026-05-16,202491.12230179907
2026-05-17,190584.6795267432
2026-05-18,203552.87067885185
2026-05-19,204892.87974896404
2026-05-20,203321.01657978795
2026-05-21,203720.2027918937
2026-05-22,203951.3513909964
2026-05-23,202842.0519952286
2026-05-24,190699.84053958883
2026-05-25,202616.7175700725
2026-05-26,204116.81075503933
2026-05-27,203676.388795487
2026-05-28,204437.6922040185
2026-05-29,204462.04435839492
2026-05-30,203129.1197119241
2026-05-31,190816.76848082297
2026-06-01,200419.55702202182
2026-06-02,202778.4929490713
2026-06-03,203444.05710753766
2026-06-04,202357.48184441126
2026-06-05,204347.93474121505
2026-06-06,203585.34094701
2026-06-07,193395.85836057807
2026-06-08,205862.60791289556
2026-06-09,206929.9261693569
2026-06-10,206387.67613584548
2026-06-11,205089.00644732147
2026-06-12,205913.98029155756
2026-06-13,204990.91588846015
2026-06-14,192857.85696614115
2026-06-15,205548.7294649714
2026-06-16,206276.43564645833
2026-06-17,205977.21352803623
2026-06-18,205460.03633412448
2026-06-19,205908.3171890621
2026-06-20,204837.45256423348
